Assay	Cell Type	Molecule
CAGE	signet ring carcinoma cell line:Kato III	
CAGE	signet ring carcinoma cell line:Kato III	
CAGE	Endothelial Cells - Aortic,	
CAGE	Endothelial Cells - Aortic,	
CAGE	Smooth Muscle Cells - Aortic,	
CAGE	Smooth Muscle Cells - Aortic,	
CAGE	Smooth Muscle Cells - Umbilical artery,	
CAGE	Smooth Muscle Cells - Umbilical artery,	
CAGE	Retinal Pigment Epithelial Cells,	
CAGE	Retinal Pigment Epithelial Cells,	
CAGE	Urothelial cells,	
CAGE	Urothelial cells,	
CAGE	Mesenchymal stem cells - adipose,	
CAGE	Mesenchymal stem cells - adipose,	
CAGE	Mesenchymal stem cells - hepatic,	
CAGE	Mesenchymal stem cells - hepatic,	
CAGE	Mesenchymal Stem Cells - Vertebral,	
CAGE	Mesenchymal Stem Cells - Vertebral,	
CAGE	Sebocyte,	
CAGE	Sebocyte,	
CAGE	Fibroblast - Gingival,  (GFH2)	
CAGE	Fibroblast - Gingival,  (GFH2)	
CAGE	Mesothelial Cells,	
CAGE	Mesothelial Cells,	
CAGE	Sertoli Cells,	
CAGE	Sertoli Cells,	
CAGE	CD14+ Monocytes,	
CAGE	CD14+ Monocytes,	
CAGE	CD4+ T Cells,	
CAGE	CD4+ T Cells,	
CAGE	CD8+ T Cells,	
CAGE	CD8+ T Cells,	
CAGE	Dendritic Cells - monocyte immature derived, , tech_	
CAGE	Dendritic Cells - monocyte immature derived, , tech_	
CAGE	Dendritic Cells - plasmacytoid,	
CAGE	Dendritic Cells - plasmacytoid,	
CAGE	CD14+ monocyte derived endothelial progenitor cells,	
CAGE	CD14+ monocyte derived endothelial progenitor cells,	
CAGE	Natural Killer Cells,	
CAGE	Natural Killer Cells,	
CAGE	Peripheral Blood Mononuclear Cells,	
CAGE	Peripheral Blood Mononuclear Cells,	
CAGE	Macrophage - monocyte derived,	
CAGE	Macrophage - monocyte derived,	
CAGE	Neutrophils,	
CAGE	Neutrophils,	
CAGE	Smooth Muscle Cells - Brain Vascular,	
CAGE	Smooth Muscle Cells - Brain Vascular,	
CAGE	Astrocyte - cerebral cortex,	
CAGE	Astrocyte - cerebral cortex,	
CAGE	Endothelial Cells - Lymphatic,	
CAGE	Endothelial Cells - Lymphatic,	
CAGE	Fibroblast - Gingival,	
CAGE	Fibroblast - Gingival,	
CAGE	Fibroblast - Periodontal Ligament,	
CAGE	Fibroblast - Periodontal Ligament,	
CAGE	Smooth Muscle Cells - Colonic,	
CAGE	Smooth Muscle Cells - Colonic,	
CAGE	Skeletal Muscle Satellite Cells,	
CAGE	Skeletal Muscle Satellite Cells,	
CAGE	Myoblast,	
CAGE	Myoblast,	
CAGE	Ciliary Epithelial Cells,	
CAGE	Ciliary Epithelial Cells,	
CAGE	Endothelial Cells - Umbilical vein,	
CAGE	Endothelial Cells - Umbilical vein,	
CAGE	Fibroblast - Aortic Adventitial,	
CAGE	Fibroblast - Aortic Adventitial,	
CAGE	Intestinal epithelial cells (polarized),	
CAGE	Intestinal epithelial cells (polarized),	
CAGE	Anulus Pulposus Cell,	
CAGE	Anulus Pulposus Cell,	
CAGE	Pancreatic stromal cells,	
CAGE	Pancreatic stromal cells,	
CAGE	Fibroblast - Pulmonary Artery,	
CAGE	Fibroblast - Pulmonary Artery,	
CAGE	Keratinocyte - oral,	
CAGE	Keratinocyte - oral,	
CAGE	Nucleus Pulposus Cell,	
CAGE	Nucleus Pulposus Cell,	
CAGE	Prostate Epithelial Cells (polarized),	
CAGE	Prostate Epithelial Cells (polarized),	
CAGE	Prostate Stromal Cells,	
CAGE	Prostate Stromal Cells,	
CAGE	Small Airway Epithelial Cells,	
CAGE	Small Airway Epithelial Cells,	
CAGE	cord blood derived cell line:COBL-a untreated	
CAGE	cord blood derived cell line:COBL-a untreated	
CAGE	embryonic kidney cell line: HEK293/SLAM untreated	
CAGE	embryonic kidney cell line: HEK293/SLAM untreated	
CAGE	embryonic kidney cell line: HEK293/SLAM infection, 24hr	
CAGE	embryonic kidney cell line: HEK293/SLAM infection, 24hr	
CAGE	cord blood derived cell line:COBL-a 24h infection(-C)	
CAGE	cord blood derived cell line:COBL-a 24h infection(-C)	
CAGE	cord blood derived cell line:COBL-a 24h infection	
CAGE	cord blood derived cell line:COBL-a 24h infection	
CAGE	Adipocyte - breast,	
CAGE	Adipocyte - breast,	
CAGE	Preadipocyte - breast,	
CAGE	Preadipocyte - breast,	
CAGE	Adipocyte - omental,	
CAGE	Adipocyte - omental,	
CAGE	Mesenchymal Stem Cells - Wharton's Jelly,	
CAGE	Mesenchymal Stem Cells - Wharton's Jelly,	
CAGE	Gingival epithelial cells,  (GEA11)	
CAGE	Gingival epithelial cells,  (GEA11)	
CAGE	Neural stem cells,	
CAGE	Neural stem cells,	
CAGE	Keratinocyte - epidermal,	
CAGE	Keratinocyte - epidermal,	
CAGE	Preadipocyte - omental,	
CAGE	Preadipocyte - omental,	
CAGE	Smooth Muscle Cells - Internal Thoracic Artery,	
CAGE	Smooth Muscle Cells - Internal Thoracic Artery,	
CAGE	Synoviocyte,	
CAGE	Synoviocyte,	
CAGE	Mast cell - stimulated,	
CAGE	Mast cell - stimulated,	
CAGE	Fibroblast - skin spinal muscular atrophy,	
CAGE	Fibroblast - skin spinal muscular atrophy,	
CAGE	Whole blood (ribopure), , donation1	
CAGE	Whole blood (ribopure), , donation1	
CAGE	Whole blood (ribopure), , donation2	
CAGE	Whole blood (ribopure), , donation2	
CAGE	Mammary Epithelial Cell,	
CAGE	Mammary Epithelial Cell,	
CAGE	Osteoblast,	
CAGE	Osteoblast,	
CAGE	Placental Epithelial Cells,	
CAGE	Placental Epithelial Cells,	
CAGE	Preadipocyte - subcutaneous,	
CAGE	Preadipocyte - subcutaneous,	
CAGE	Preadipocyte - visceral,	
CAGE	Preadipocyte - visceral,	
CAGE	Skeletal Muscle Cells,	
CAGE	Skeletal Muscle Cells,	
CAGE	Skeletal muscle cells differentiated into Myotubes - multinucleated,	
CAGE	Skeletal muscle cells differentiated into Myotubes - multinucleated,	
CAGE	Smooth Muscle Cells - Brachiocephalic,	
CAGE	Smooth Muscle Cells - Brachiocephalic,	
CAGE	Smooth Muscle Cells - Carotid,	
CAGE	Smooth Muscle Cells - Carotid,	
CAGE	Smooth Muscle Cells - Coronary Artery,	
CAGE	Smooth Muscle Cells - Coronary Artery,	
CAGE	Smooth Muscle Cells - Pulmonary Artery,	
CAGE	Smooth Muscle Cells - Pulmonary Artery,	
CAGE	Smooth Muscle Cells - Subclavian Artery,	
CAGE	Smooth Muscle Cells - Subclavian Artery,	
CAGE	Smooth Muscle Cells - Umbilical Artery,	
CAGE	Smooth Muscle Cells - Umbilical Artery,	
CAGE	Tracheal Epithelial Cells,	
CAGE	Tracheal Epithelial Cells,	
CAGE	ductal cell carcinoma cell line:KLM-1	
CAGE	ductal cell carcinoma cell line:KLM-1	
CAGE	schwannoma cell line:HS-PSS, tech_	
CAGE	schwannoma cell line:HS-PSS, tech_	
CAGE	glioblastoma cell line:A172, tech_	
CAGE	glioblastoma cell line:A172, tech_	
CAGE	prostate cancer cell line:PC-3	
CAGE	prostate cancer cell line:PC-3	
CAGE	synovial sarcoma cell line:HS-SY-II	
CAGE	synovial sarcoma cell line:HS-SY-II	
CAGE	epithelioid sarcoma cell line:HS-ES-1	
CAGE	epithelioid sarcoma cell line:HS-ES-1	
CAGE	endometrial stromal sarcoma cell line:OMC-9	
CAGE	endometrial stromal sarcoma cell line:OMC-9	
CAGE	chronic myelogenous leukemia cell line:K562	
CAGE	chronic myelogenous leukemia cell line:K562	
CAGE	acute lymphoblastic leukemia (B-ALL) cell line:BALL-1	
CAGE	acute lymphoblastic leukemia (B-ALL) cell line:BALL-1	
CAGE	squamous cell carcinoma cell line:EC-GI-10	
CAGE	squamous cell carcinoma cell line:EC-GI-10	
CAGE	acute lymphoblastic leukemia (T-ALL) cell line:Jurkat	
CAGE	acute lymphoblastic leukemia (T-ALL) cell line:Jurkat	
CAGE	melanoma cell line:G-361	
CAGE	melanoma cell line:G-361	
CAGE	rectal cancer cell line:TT1TKB	
CAGE	rectal cancer cell line:TT1TKB	
CAGE	gall bladder carcinoma cell line:TGBC14TKB	
CAGE	gall bladder carcinoma cell line:TGBC14TKB	
CAGE	renal cell carcinoma cell line:TUHR10TKB	
CAGE	renal cell carcinoma cell line:TUHR10TKB	
CAGE	myeloma cell line:PCM6	
CAGE	myeloma cell line:PCM6	
CAGE	ductal cell carcinoma cell line:MIA Paca2	
CAGE	ductal cell carcinoma cell line:MIA Paca2	
CAGE	prostate cancer cell line:DU145	
CAGE	prostate cancer cell line:DU145	
CAGE	transitional-cell carcinoma cell line:JMSU1	
CAGE	transitional-cell carcinoma cell line:JMSU1	
CAGE	mesothelioma cell line:ACC-MESO-1	
CAGE	mesothelioma cell line:ACC-MESO-1	
CAGE	mesothelioma cell line:ACC-MESO-4	
CAGE	mesothelioma cell line:ACC-MESO-4	
CAGE	bile duct carcinoma cell line:TFK-1	
CAGE	bile duct carcinoma cell line:TFK-1	
CAGE	endometrial carcinoma cell line:OMC-2	
CAGE	endometrial carcinoma cell line:OMC-2	
CAGE	retinoblastoma cell line:Y79	
CAGE	retinoblastoma cell line:Y79	
CAGE	Burkitt's lymphoma cell line:RAJI	
CAGE	Burkitt's lymphoma cell line:RAJI	
CAGE	rhabdomyosarcoma cell line:RMS-YM	
CAGE	rhabdomyosarcoma cell line:RMS-YM	
CAGE	signet ring carcinoma cell line:NUGC-4	
CAGE	signet ring carcinoma cell line:NUGC-4	
CAGE	hepatoma cell line:Li-7	
CAGE	hepatoma cell line:Li-7	
CAGE	glioblastoma cell line:T98G	
CAGE	glioblastoma cell line:T98G	
CAGE	squamous cell lung carcinoma cell line:EBC-1	
CAGE	squamous cell lung carcinoma cell line:EBC-1	
CAGE	giant cell carcinoma cell line:LU65	
CAGE	giant cell carcinoma cell line:LU65	
CAGE	lung adenocarcinoma cell line:A549	
CAGE	lung adenocarcinoma cell line:A549	
CAGE	neuroblastoma cell line:CHP-134	
CAGE	neuroblastoma cell line:CHP-134	
CAGE	large cell lung carcinoma cell line:IA-LM	
CAGE	large cell lung carcinoma cell line:IA-LM	
CAGE	osteosarcoma cell line:143B/TK^(-)neo^(R)	
CAGE	osteosarcoma cell line:143B/TK^(-)neo^(R)	
CAGE	colon carcinoma cell line:CACO-2	
CAGE	colon carcinoma cell line:CACO-2	
CAGE	melanoma cell line:COLO 679	
CAGE	melanoma cell line:COLO 679	
CAGE	acute lymphoblastic leukemia (B-ALL) cell line:NALM-6	
CAGE	acute lymphoblastic leukemia (B-ALL) cell line:NALM-6	
CAGE	cholangiocellular carcinoma cell line:HuH-28	
CAGE	cholangiocellular carcinoma cell line:HuH-28	
CAGE	neuroblastoma cell line:NB-1	
CAGE	neuroblastoma cell line:NB-1	
CAGE	small cell lung carcinoma cell line:LK-2	
CAGE	small cell lung carcinoma cell line:LK-2	
CAGE	gastric cancer cell line:AZ521	
CAGE	gastric cancer cell line:AZ521	
CAGE	oral squamous cell carcinoma cell line:HO-1-u-1	
CAGE	oral squamous cell carcinoma cell line:HO-1-u-1	
CAGE	cervical cancer cell line:D98-AH2	
CAGE	cervical cancer cell line:D98-AH2	
CAGE	cervical cancer cell line:ME-180	
